
0 852 blocks   312 its      78.250 Fl/B        449 GB/s     35110 GF/s   1590 Mhz   310 W   67°C
1 852 blocks   312 its      78.250 Fl/B        616 GB/s     48226 GF/s   2160 Mhz   359 W   67°C

0 852 blocks   320 its      80.250 Fl/B        428 GB/s     34341 GF/s   1545 Mhz   313 W   66°C
1 852 blocks   320 its      80.250 Fl/B        596 GB/s     47869 GF/s   2160 Mhz   357 W   67°C

0 852 blocks   328 its      82.250 Fl/B        430 GB/s     35378 GF/s   1605 Mhz   304 W   66°C
1 852 blocks   328 its      82.250 Fl/B        594 GB/s     48833 GF/s   2175 Mhz   352 W   67°C

0 852 blocks   336 its      84.250 Fl/B        422 GB/s     35592 GF/s   1560 Mhz   309 W   66°C
1 852 blocks   336 its      84.250 Fl/B        580 GB/s     48830 GF/s   2175 Mhz   357 W   67°C

0 852 blocks   344 its      86.250 Fl/B        414 GB/s     35723 GF/s   1605 Mhz   314 W   66°C
1 852 blocks   344 its      86.250 Fl/B        568 GB/s     49001 GF/s   2175 Mhz   352 W   67°C

0 852 blocks   352 its      88.250 Fl/B        399 GB/s     35186 GF/s   1575 Mhz   313 W   66°C
1 852 blocks   352 its      88.250 Fl/B        549 GB/s     48426 GF/s   2175 Mhz   352 W   67°C

0 852 blocks   360 its      90.250 Fl/B        401 GB/s     36221 GF/s   1590 Mhz   306 W   66°C
1 852 blocks   360 its      90.250 Fl/B        547 GB/s     49337 GF/s   2160 Mhz   354 W   67°C

0 852 blocks   368 its      92.250 Fl/B        392 GB/s     36184 GF/s   1605 Mhz   314 W   66°C
1 852 blocks   368 its      92.250 Fl/B        533 GB/s     49127 GF/s   2175 Mhz   354 W   67°C

0 852 blocks   376 its      94.250 Fl/B        382 GB/s     36007 GF/s   1605 Mhz   310 W   67°C
1 852 blocks   376 its      94.250 Fl/B        520 GB/s     49025 GF/s   2175 Mhz   358 W   67°C

0 852 blocks   384 its      96.250 Fl/B        371 GB/s     35706 GF/s   1560 Mhz   305 W   67°C
1 852 blocks   384 its      96.250 Fl/B        507 GB/s     48806 GF/s   2175 Mhz   357 W   67°C

0 852 blocks   392 its      98.250 Fl/B        374 GB/s     36782 GF/s   1620 Mhz   313 W   67°C
1 852 blocks   392 its      98.250 Fl/B        506 GB/s     49742 GF/s   2205 Mhz   353 W   67°C

0 852 blocks   400 its      100.250 Fl/B        369 GB/s     36970 GF/s   1620 Mhz   307 W   67°C
1 852 blocks   400 its      100.250 Fl/B        498 GB/s     49932 GF/s   2190 Mhz   358 W   68°C

0 852 blocks   408 its      102.250 Fl/B        366 GB/s     37408 GF/s   1680 Mhz   301 W   67°C
1 852 blocks   408 its      102.250 Fl/B        487 GB/s     49812 GF/s   2190 Mhz   355 W   68°C

0 852 blocks   416 its      104.250 Fl/B        350 GB/s     36527 GF/s   1635 Mhz   306 W   67°C
1 852 blocks   416 its      104.250 Fl/B        472 GB/s     49228 GF/s   2160 Mhz   355 W   67°C

0 852 blocks   424 its      106.250 Fl/B        350 GB/s     37202 GF/s   1650 Mhz   310 W   66°C
1 852 blocks   424 its      106.250 Fl/B        468 GB/s     49724 GF/s   2205 Mhz   358 W   67°C

0 852 blocks   432 its      108.250 Fl/B        350 GB/s     37924 GF/s   1680 Mhz   303 W   66°C
1 852 blocks   432 its      108.250 Fl/B        462 GB/s     49991 GF/s   2205 Mhz   354 W   67°C

0 852 blocks   440 its      110.250 Fl/B        350 GB/s     38621 GF/s   1695 Mhz   306 W   66°C
1 852 blocks   440 its      110.250 Fl/B        457 GB/s     50431 GF/s   2205 Mhz   352 W   67°C

0 852 blocks   448 its      112.250 Fl/B        338 GB/s     37953 GF/s   1680 Mhz   312 W   66°C
1 852 blocks   448 its      112.250 Fl/B        442 GB/s     49617 GF/s   2190 Mhz   354 W   67°C

0 852 blocks   456 its      114.250 Fl/B        343 GB/s     39148 GF/s   1725 Mhz   305 W   66°C
1 852 blocks   456 its      114.250 Fl/B        442 GB/s     50443 GF/s   2205 Mhz   357 W   67°C

0 852 blocks   464 its      116.250 Fl/B        338 GB/s     39282 GF/s   1740 Mhz   309 W   65°C
1 852 blocks   464 its      116.250 Fl/B        434 GB/s     50488 GF/s   2220 Mhz   355 W   67°C

0 852 blocks   472 its      118.250 Fl/B        330 GB/s     38971 GF/s   1710 Mhz   304 W   65°C
1 852 blocks   472 its      118.250 Fl/B        428 GB/s     50573 GF/s   2220 Mhz   356 W   66°C

0 852 blocks   480 its      120.250 Fl/B        322 GB/s     38682 GF/s   1725 Mhz   302 W   65°C
1 852 blocks   480 its      120.250 Fl/B        416 GB/s     50014 GF/s   2205 Mhz   357 W   66°C

0 852 blocks   488 its      122.250 Fl/B        318 GB/s     38878 GF/s   1710 Mhz   305 W   65°C
1 852 blocks   488 its      122.250 Fl/B        413 GB/s     50446 GF/s   2220 Mhz   351 W   66°C

0 852 blocks   496 its      124.250 Fl/B        316 GB/s     39304 GF/s   1740 Mhz   303 W   66°C
1 852 blocks   496 its      124.250 Fl/B        407 GB/s     50519 GF/s   2220 Mhz   352 W   67°C

0 852 blocks   504 its      126.250 Fl/B        315 GB/s     39731 GF/s   1740 Mhz   302 W   66°C
1 852 blocks   504 its      126.250 Fl/B        403 GB/s     50855 GF/s   2220 Mhz   352 W   67°C

0 852 blocks   512 its      128.250 Fl/B        304 GB/s     39046 GF/s   1740 Mhz   305 W   66°C
1 852 blocks   512 its      128.250 Fl/B        391 GB/s     50207 GF/s   2205 Mhz   353 W   67°C

